timestamp,total_rec_per_sec,checkpoint_mb,heap_pct,gc_sec,managed_mb,managed_used_mb,managed_pct,backpressure,rocksdb_compactions,rocksdb_pending_comp_mb,rocksdb_mem_tables_mb,rocksdb_stall_ms,rocksdb_write_stopped,rocksdb_flushes,rocksdb_immutable_mems,rocksdb_flush_pending,rocksdb_live_data_mb,rocksdb_cache_hit_rate_pct
2025-10-12 15:56:58,0,0,17,0,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-12 15:57:02,0,0,17,0,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-12 15:57:08,2062,37.20,10,0,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-12 15:57:13,2062,37.20,10,0,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-12 15:57:18,4904,82.16,7,0,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-12 15:57:22,4904,82.16,7,0,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-12 15:57:30,8318,136.72,6,0,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-12 15:57:34,8318,136.72,7,0,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-12 15:57:43,12149,197.09,7,0,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-12 15:57:46,15330,197.09,61,0,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-12 15:57:53,15330,243.34,61,0,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-12 15:57:56,17386,243.34,44,0,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-12 15:58:04,17386,280.32,44,0,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-12 15:58:08,17855,280.32,32,0,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-12 15:58:17,16124,324.57,22,0,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-12 15:58:21,16124,324.57,22,0,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-12 15:58:31,15527,374.85,15,0,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-12 15:58:38,14787,413.88,15,0,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-12 15:58:42,14787,413.88,15,0,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-12 15:58:49,14787,454.68,12,0,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-12 15:58:53,16129,454.68,12,0,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-12 15:58:59,16129,500.93,12,0,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-12 15:59:02,16406,500.93,7,0,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-12 15:59:11,14924,545.44,10,0,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-12 15:59:16,14924,545.44,10,0,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-12 15:59:24,14258,575.85,47,0,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-12 15:59:27,14258,575.85,47,0,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-12 15:59:34,13956,610.32,29,0,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-12 15:59:38,13956,610.32,29,0,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-12 15:59:45,13964,652.14,20,0,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-12 15:59:49,13964,652.14,20,0,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-12 15:59:59,13771,691.65,16,0,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-12 16:00:03,13066,691.65,13,0,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-12 16:00:12,13066,733.87,13,0,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-12 16:00:15,13175,733.87,59,0,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-12 16:00:23,13175,767.83,47,0,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
